nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Emily Blunt	actress	92	7.1	13222144
James Franco	actor	168	7.1	13191349
James Franco	director	168	7.1	13191349
Robin Williams	actor	132	7.2	13191193
Geoffrey Rush	actor	86	7.4	13157568
Jeff Bridges	actor	182	7.3	13150495
Bryan Cranston	actor	95	8.2	13070057
Bryan Cranston	director	95	8.2	13070057
Gwyneth Paltrow	actress	85	7.1	13054667
Chiwetel Ejiofor	actor	89	7.3	13036361
Ben Stiller	actor	112	6.6	12872493
Ben Stiller	director	112	6.6	12872493
Heath Ledger	actor	48	8.3	12837915
Tommy Lee Jones	actor	152	7.0	12816682
Owen Wilson	actor	118	6.7	12783491
Ethan Hawke	actor	153	7.2	12766728
Ethan Hawke	director	153	7.2	12766728
Aaron Eckhart	actor	80	8.0	12627755
Patrick Stewart	actor	125	7.4	12567745
Michael Fassbender	actor	75	7.0	12512838
Bill Murray	actor	99	7.2	12500671
Jodie Foster	actress	110	7.7	12490943
Jodie Foster	director	110	7.7	12490943
Laurence Fishburne	actor	121	7.5	12488019
Rachel Weisz	actress	116	6.9	12411811
Christopher Plummer	actor	275	7.7	12397582
Nicole Kidman	actress	169	6.9	12394089
Jesse Eisenberg	actor	93	6.9	12379750
Jesse Eisenberg	director	93	6.9	12379750
Guy Pearce	actor	128	7.4	12281401
Margot Robbie	actress	54	7.2	12125812
Jack Black	actor	107	6.9	12062920
Robin Wright	actress	72	7.9	11996206
Martin Freeman	actor	87	8.0	11955193
Jennifer Connelly	actress	98	7.3	11939934
Eddie Murphy	actor	111	6.7	11878241
Michelle Rodriguez	actress	65	6.9	11684663
Michelle Rodriguez	actor	65	6.9	11684663
Simon Pegg	actor	75	7.4	11576314
Vince Vaughn	actor	89	7.0	11574780
Winona Ryder	actress	92	7.7	11491220
Sean Bean	actor	145	7.7	11487159
Shia LaBeouf	actor	79	6.7	11440063
Colin Firth	actor	149	7.3	11418988
Colin Firth	director	149	7.3	11418988
Julia Roberts	actress	113	6.8	11408137
Kurt Russell	actor	154	7.2	11407562
Jason Bateman	actor	100	7.1	11396890
Carrie-Anne Moss	actress	84	7.8	11376523
Christopher Walken	actor	163	7.3	11318492
Don Cheadle	actor	97	7.0	11296283
Lena Headey	actress	85	8.2	11254177
Chris Pine	actor	74	7.0	11151042
Henry Cavill	actor	48	7.2	11148867
Channing Tatum	actor	75	6.5	11105315
Sean Connery	actor	167	7.1	11086798
Joe Pesci	actor	68	7.9	11065976
Meryl Streep	actress	146	6.9	11057922
Dustin Hoffman	actor	124	7.3	10875376
Dustin Hoffman	director	124	7.3	10875376
Patrick Wilson	actor	93	6.9	10851714
Helena Bonham Carter	actress	122	6.9	10786667
Clint Eastwood	actor	173	7.7	10774032
Clint Eastwood	director	173	7.7	10774032
Seth Rogen	actor	71	6.7	10644916
Seth Rogen	director	71	6.7	10644916
Steve Buscemi	actor	112	7.5	10619720
Steve Buscemi	director	112	7.5	10619720
Elliot Page	actor	73	8.2	10553522
Elliot Page	actress	73	8.2	10553522
Kevin Costner	actor	141	7.1	10495840
Paul Rudd	actor	111	6.9	10486062
Paul Rudd	director	111	6.9	10486062
Diane Keaton	actress	132	8.3	10454064
Diane Keaton	director	132	8.3	10454064
Clive Owen	actor	124	7.3	10375553
Val Kilmer	actor	146	7.3	10371037
Oscar Isaac	actor	72	7.3	10319010
Sam Worthington	actor	76	7.2	10317116
Michael Madsen	actor	350	7.7	10299469
Michael Madsen	director	350	7.7	10299469
Tim Allen	actor	72	7.7	10230084
Michael Keaton	actor	103	7.1	10200556
John Leguizamo	actor	166	6.7	10145490
Christopher Lloyd	actor	193	7.6	10141013
Kevin Bacon	actor	144	7.2	10099260
Kevin Bacon	director	144	7.2	10099260
Catherine Keener	actress	110	7.5	10074590
Tobey Maguire	actor	53	7.1	9986543
Jennifer Aniston	actress	97	7.0	9980683
Jennifer Aniston	director	97	7.0	9980683
Domhnall Gleeson	actor	50	7.7	9922091
Tom Hiddleston	actor	43	7.2	9847822
Naomi Watts	actress	145	7.0	9836908
John Cusack	actor	169	6.7	9752131
Aaron Paul	actor	58	8.8	9691928
Josh Hutcherson	actor	66	6.9	9684764
Adrien Brody	actor	106	7.6	9639620
Tom Wilkinson	actor	118	7.3	9634289
Philip Seymour Hoffman	actor	68	7.3	9594415
Liam Hemsworth	actor	48	6.8	9586164
Forest Whitaker	actor	166	6.9	9576911
Forest Whitaker	director	166	6.9	9576911
Halle Berry	actress	95	6.6	9567496
Judi Dench	actress	114	7.2	9535129
Judi Dench	director	114	7.2	9535129
Rosamund Pike	actress	82	7.0	9516156
John Malkovich	actor	173	6.8	9499360
John Malkovich	director	173	6.8	9499360
Idris Elba	actor	92	6.9	9497552
Idris Elba	director	92	6.9	9497552
Stellan Skarsgård	actor	156	7.3	9471952
Robert Duvall	actor	164	7.8	9467438
Robert Duvall	director	164	7.8	9467438
Tim Robbins	actor	99	7.6	9392001
Tim Robbins	director	99	7.6	9392001
Vera Farmiga	actress	99	7.1	9347891
Chloë Grace Moretz	actress	92	7.0	9334134
Famke Janssen	actress	99	6.8	9305562
Famke Janssen	director	99	6.8	9305562
Javier Bardem	actor	87	7.4	9285557
Will Ferrell	actor	95	6.7	9227793
Kristen Wiig	actress	70	7.0	9170902
Toni Collette	actress	136	7.5	9156969
Michael Douglas	actor	126	7.1	9006840
Michael Douglas	director	126	7.1	9006840
Diane Kruger	actress	98	7.6	8990745
Bill Nighy	actor	119	7.2	8977700
Michelle Monaghan	actress	67	7.3	8970593
Nicholas Hoult	actor	74	7.2	8968388
Michael J. Fox	actor	71	7.7	8908540
Emilia Clarke	actress	24	8.5	8855667
Jon Bernthal	actor	68	7.7	8846305
Jeffrey Wright	actor	72	7.6	8832002
Anna Kendrick	actress	95	7.0	8831609
Sam Neill	director	206	7.2	8822546
Sam Neill	actor	206	7.2	8822546
Sean Penn	actor	121	7.3	8741937
Sean Penn	director	121	7.3	8741937
Laura Linney	actress	97	7.5	8738775
J.K. Simmons	actor	120	7.7	8680391
Gene Hackman	actor	185	7.1	8662082
Bill Paxton	actor	119	7.3	8644312
Bill Paxton	director	119	7.3	8644312
Jeremy Irons	actor	144	7.4	8631213
Michelle Pfeiffer	actress	116	6.9	8613716
Kate Beckinsale	actress	105	6.5	8570535
Jeff Goldblum	actor	122	7.1	8529157
Jeff Goldblum	director	122	7.1	8529157
Mark Strong	actor	114	6.9	8502987
Bob Odenkirk	actor	52	9.0	8478402
Bob Odenkirk	director	52	9.0	8478402
Mila Kunis	actress	66	6.9	8469573
Thandiwe Newton	actress	70	7.1	8431970
Andrew Garfield	actor	44	7.3	8400232
Nikolaj Coster-Waldau	actor	77	8.5	8396873
Vincent D'Onofrio	actor	148	7.4	8372438
Vincent D'Onofrio	director	148	7.4	8372438
Tom Holland	actor	74	7.5	8360674
Tom Holland	director	74	7.5	8360674
Paul Walker	actor	66	6.7	8354883
Paul Walker	director	66	6.7	8354883
Joel Edgerton	actor	90	7.0	8313820
Ian McShane	actor	131	7.0	8245261
Tilda Swinton	actress	126	7.2	8238932
Tilda Swinton	director	126	7.2	8238932
Harvey Keitel	actor	209	7.4	8235346
Marlon Brando	actor	99	8.4	8195536
Jean Reno	actress	141	7.3	8086523
Jean Reno	actor	141	7.3	8086523
Jonathan Banks	actor	88	9.0	8059918
Iain Glen	actor	96	8.5	8055058
Peter Dinklage	actor	65	8.6	8037874
Brendan Gleeson	actor	98	7.4	8021431
Mike Myers	actor	56	6.8	7969098
Mike Myers	director	56	6.8	7969098
Ray Liotta	actor	135	7.5	7961838
Ron Perlman	actor	230	6.9	7938030
Abigail Breslin	actress	73	7.1	7817952
Jon Voight	actor	133	7.1	7791444
Robert Redford	actor	158	7.4	7763704
Robert Redford	director	158	7.4	7763704
Stanley Tucci	actor	134	6.7	7756521
Stanley Tucci	director	134	6.7	7756521
Pierce Brosnan	actor	147	6.5	7713166
Jackie Chan	actor	228	6.5	7686027
Alec Baldwin	actor	185	6.7	7643803
Alec Baldwin	director	185	6.7	7643803
Kathy Bates	actress	111	7.3	7632444
Kathy Bates	director	111	7.3	7632444
Hugh Grant	actor	90	7.0	7620461
Viola Davis	actress	90	7.0	7617608
Albert Brooks	actor	48	7.9	7613550
Laura Dern	actress	115	7.6	7605396
Laura Dern	director	115	7.6	7605396
Christoph Waltz	actor	91	7.4	7599010
Christoph Waltz	director	91	7.4	7599010
Frances McDormand	actress	79	7.5	7560279
James Caan	actor	176	8.0	7485721
John C. Reilly	actor	88	6.9	7461872
Jamie Lee Curtis	actress	106	7.1	7450323
Paul Giamatti	actor	106	6.8	7407755
Mickey Rourke	actor	137	7.0	7374174
Jay Baruchel	actor	75	7.5	7315488
Jay Baruchel	director	75	7.5	7315488
Joan Cusack	actress	85	7.4	7277367
Matthew Broderick	actor	99	7.3	7230905
Billy Dee Williams	actor	106	8.5	7230525
John Boyega	actor	43	7.0	7229252
Tim Roth	actor	148	6.9	7223962
Tim Roth	director	148	6.9	7223962
Gal Gadot	actress	32	6.8	7207458
Olivia Wilde	actress	69	7.1	7200123
Olivia Wilde	director	69	7.1	7200123
Morena Baccarin	actress	48	8.0	7184743
Penélope Cruz	actress	125	6.5	7173629
Reese Witherspoon	actress	91	6.8	7168780
Jennifer Garner	actress	80	6.7	7158136
Joan Allen	actress	67	7.6	7157003
Sharlto Copley	actor	45	7.0	7139955
Sharlto Copley	director	45	7.0	7139955
Emile Hirsch	actor	91	7.3	7116808
Bryce Dallas Howard	actress	39	6.8	7089586
Bryce Dallas Howard	director	39	6.8	7089586
Bonnie Hunt	actress	52	7.8	7083386
Bonnie Hunt	director	52	7.8	7083386
Marisa Tomei	actress	97	7.2	7071030
Rooney Mara	actress	47	7.5	7056238
Andy Serkis	actor	64	7.4	7053501
Andy Serkis	director	64	7.4	7053501
Kit Harington	actor	21	8.8	7044767
Rose Byrne	actress	91	6.7	7023025
Connie Nielsen	actress	72	7.8	7009946
Cillian Murphy	actor	61	7.2	7007434
Billy Bob Thornton	actor	108	7.0	6980781
Billy Bob Thornton	director	108	7.0	6980781
Catherine Zeta-Jones	actress	72	6.8	6898889
Gary Sinise	director	67	8.0	6871467
Gary Sinise	actor	67	8.0	6871467
Sam Rockwell	actor	100	7.3	6864021
Ben Foster	actor	88	7.0	6845381
Ben Foster	director	88	7.0	6845381
Maisie Williams	actress	37	8.9	6835110
David Morse	actor	112	7.9	6832255
Daryl Hannah	actress	136	7.8	6826046
Daryl Hannah	director	136	7.8	6826046
Drew Barrymore	actress	127	6.6	6820589
John Hurt	actor	213	7.3	6808445
Michael Shannon	actor	105	7.1	6799261
David Harbour	actor	44	7.8	6794456
T.J. Miller	actor	49	7.5	6789836
Amanda Seyfried	actress	60	6.5	6784191
Donald Sutherland	actor	256	6.8	6741910
Michael Gambon	actor	104	7.6	6708365
Eddie Redmayne	actor	52	6.9	6539600
Brie Larson	actress	51	7.0	6533853
Michelle Williams	actress	72	6.8	6525151
Michael Peña	actor	77	6.9	6523946
Renée Zellweger	actress	82	6.7	6515404
Sally Field	actress	98	8.1	6502766
Sally Field	director	98	8.1	6502766
Danny Glover	actor	184	7.0	6491818
Danny Glover	director	184	7.0	6491818
Jennifer Jason Leigh	actress	117	7.3	6470626
Jason Segel	actor	48	7.2	6460833
Emily Mortimer	actress	85	7.3	6455698
Jamie Bell	actor	75	6.7	6453566
Josh Hartnett	actor	84	6.9	6447720
Hayden Christensen	actor	47	6.8	6442125
Dean Norris	actor	34	9.1	6416598
Aaron Taylor-Johnson	actor	51	6.9	6413591
Jared Leto	actor	44	6.9	6400970
Jared Leto	director	44	6.9	6400970
Rupert Graves	actor	78	8.5	6399063
Adam Driver	actor	61	7.0	6397207
Mahershala Ali	actor	37	8.2	6390584
Martin Sheen	actor	241	7.9	6381552
Max von Sydow	actor	193	7.1	6370851
Max von Sydow	director	193	7.1	6370851
Sophie Turner	actress	28	9.2	6370489
Eva Green	actress	54	7.1	6312025
David Carradine	actor	268	7.9	6289989
Liev Schreiber	actor	112	6.9	6283583
Liev Schreiber	director	112	6.9	6283583
Daisy Ridley	actress	23	7.2	6272374
Dominic West	actor	60	7.5	6262737
Gabriel Byrne	actor	167	7.6	6242768
Helen Mirren	actress	175	6.9	6194576
Helen Mirren	director	175	6.9	6194576
Zooey Deschanel	actress	59	6.9	6187578
Alec Guinness	actor	86	8.4	6177837
Ana de Armas	actress	48	7.4	6174361
Peter Sarsgaard	actor	86	6.6	6171758
Ving Rhames	actor	133	6.6	6161395
Eric Bana	actor	62	7.1	6147979
Benicio Del Toro	actor	66	7.2	6138138
Benicio Del Toro	director	66	7.2	6138138
Mélanie Laurent	actress	77	7.8	6137989
Mélanie Laurent	director	77	7.8	6137989
Charlie Hunnam	actor	47	7.2	6110118
F. Murray Abraham	actor	111	7.9	6085667
James Marsden	actor	92	6.9	6085419
Zach Galifianakis	actor	50	6.8	6054475
James Stewart	actor	189	8.1	6026397
Alan Tudyk	actor	47	7.8	6014911
Emma Thompson	actress	102	7.0	6014514
Lea Thompson	actress	112	7.9	6009564
Lea Thompson	director	112	7.9	6009564
Evangeline Lilly	actress	25	7.4	5999486
Robert Patrick	director	159	7.8	5996469
Robert Patrick	actor	159	7.8	5996469
Zoë Kravitz	actress	41	7.9	5967563
Richard Gere	actor	124	6.9	5940506
Michael Clarke Duncan	actor	45	7.6	5916162
Rebecca Ferguson	actress	38	7.1	5860897
Danai Gurira	actress	14	7.7	5833913
Zachary Quinto	actor	37	7.5	5829349
Tom Sizemore	actor	280	7.7	5828084
Cary Elwes	actor	119	7.1	5818425
Noomi Rapace	actress	69	7.0	5816077
Dave Bautista	actor	51	7.2	5811247
Neil Patrick Harris	actor	74	7.7	5810812
Neil Patrick Harris	director	74	7.7	5810812
Mackenzie Foy	actress	18	8.5	5808943
Mary McDonnell	actress	51	7.7	5799894
Rene Russo	actress	64	6.9	5784330
Naomie Harris	actress	53	7.1	5771247
Betsy Brandt	actress	30	9.5	5753617
RJ Mitte	actor	24	9.5	5734551
Sharon Stone	actress	139	6.7	5725477
Olivia Williams	actress	73	7.7	5724978
Bill Hader	actor	47	7.3	5719130
Steven Michael Quezada	actor	16	9.5	5696290
Anna Gunn	actress	21	9.5	5689494
Greg Kinnear	actor	104	7.0	5674635
Tessa Thompson	actress	64	7.2	5653441
Alicia Vikander	actress	70	7.0	5630953
Hailee Steinfeld	actress	40	7.6	5622776
Billy Crystal	actor	74	7.5	5622636
Billy Crystal	director	74	7.5	5622636
Bill Pullman	actor	125	6.8	5621812
Richard Harris	actor	139	7.5	5608257
Michael B. Jordan	actor	38	6.9	5593594
Irrfan Khan	actor	148	7.1	5587213
Millie Bobby Brown	actress	20	7.9	5577266
William Hurt	actor	143	6.9	5571818
Jada Pinkett Smith	actress	48	7.0	5554701
Jada Pinkett Smith	director	48	7.0	5554701
Susan Sarandon	actress	210	6.7	5524133
Zendaya	actress	29	7.9	5512050
Jon Hamm	actor	67	7.2	5500420
Shailene Woodley	actress	35	7.0	5477419
Elizabeth Banks	actress	88	6.7	5464049
Elizabeth Banks	director	88	6.7	5464049
Whoopi Goldberg	actress	127	7.7	5463867
Whoopi Goldberg	director	127	7.7	5463867
Jason Clarke	actor	72	6.7	5463027
William H. Macy	actor	117	7.1	5446138
William H. Macy	director	117	7.1	5446138
Rhys Ifans	actor	77	7.0	5436959
Crispin Glover	actor	72	7.9	5436434
Crispin Glover	director	72	7.9	5436434
Ice Cube	actor	64	6.5	5433508
Ice Cube	director	64	6.5	5433508
Frances Conroy	actress	37	8.2	5431860
Julie Andrews	actress	77	7.3	5422401
Alice Braga	actress	48	6.7	5417330
Ian Holm	actor	114	7.6	5398936
Benedict Wong	actor	41	7.1	5387980
Danny DeVito	actor	136	6.7	5376258
Danny DeVito	director	136	6.7	5376258
Billy Crudup	actor	67	7.5	5372743
Kristen Bell	actress	80	7.1	5331030
Oliver Reed	actor	185	8.2	5320243
Alfred Molina	actor	153	6.8	5313081
Ashton Kutcher	actor	50	6.6	5306356
Courteney Cox	actress	72	7.4	5305513
Courteney Cox	director	72	7.4	5305513
Christian Slater	actor	158	7.1	5291239
Felicity Jones	actress	63	7.2	5282673
Dev Patel	actor	31	7.3	5279801
Carl Weathers	actor	53	7.9	5269146
Will Arnett	actor	79	7.1	5259246
Karl Urban	actor	66	7.1	5246917
Nick Frost	actor	52	7.5	5237689
Diane Lane	actress	121	6.7	5220047
Anthony Mackie	actor	65	6.7	5203754
Mary Elizabeth Winstead	actress	52	6.6	5203650
Miles Teller	actor	31	7.4	5199695
Djimon Hounsou	actor	48	7.1	5196985
Djimon Hounsou	director	48	7.1	5196985
Dan Aykroyd	actor	113	6.9	5194959
Kevin Hart	actor	80	6.5	5178685
Thomas Kretschmann	actor	142	7.6	5176807
Logan Lerman	actor	46	7.0	5149876
Boyd Holbrook	actor	37	7.8	5136584
Timothy Olyphant	actor	59	6.9	5119786
Vincent Cassel	actor	110	7.2	5113244
Dakota Fanning	actress	66	6.8	5098248
Aamir Khan	actor	123	7.6	5094964
Kerry Washington	actress	46	7.8	5087329
Justin Timberlake	actor	42	6.8	5063667
Alexander Skarsgård	actor	77	6.8	5062802
Hilary Swank	actress	74	7.1	5031833
Linda Hamilton	actress	87	7.9	5025867
Michael Cera	actor	65	7.3	5019154
Alan Arkin	actor	132	7.1	4996085
Alan Arkin	director	132	7.1	4996085
Holly Hunter	actress	86	7.5	4982215
Rebecca Hall	actress	74	6.7	4969770
Rebecca Hall	director	74	6.7	4969770
John Krasinski	actor	54	7.4	4960172
John Krasinski	director	54	7.4	4960172
Edward Furlong	actor	92	8.3	4954445
Helen Hunt	actress	115	7.2	4941972
Craig T. Nelson	actor	64	7.4	4937240
Michael Biehn	actor	141	7.9	4931507
Terrence Howard	actor	82	7.4	4924793
Lorraine Bracco	actress	59	8.6	4915773
Danny Huston	director	77	6.7	4907064
Danny Huston	actor	77	6.7	4907064
Matthew Goode	actor	63	7.5	4900260
Danny Aiello	actor	114	8.0	4899843
David Schwimmer	actor	49	7.6	4892541
David Schwimmer	director	49	7.6	4892541
John Lithgow	actor	132	7.1	4889738
Kim Basinger	actress	105	7.2	4888050
Rosario Dawson	actress	92	6.6	4880760
Finn Wolfhard	actor	22	8.2	4877028
Kate Mara	actress	47	7.4	4868469
Alan Rickman	actor	64	7.6	4862936
Alan Rickman	director	64	7.6	4862936
Olga Kurylenko	actress	83	6.6	4852908
Zazie Beetz	actress	40	8.3	4851160
Walton Goggins	actor	59	7.5	4847139
Ciarán Hinds	actor	74	6.9	4841846
Richard Armitage	actor	42	7.6	4816413
Kiefer Sutherland	actor	152	6.9	4813402
Taron Egerton	actor	35	7.2	4813370
Liv Tyler	actress	51	6.7	4796823
Jason Sudeikis	actor	66	6.9	4791099
Michelle Yeoh	actress	99	6.9	4771391
Josh Gad	actor	60	7.0	4767567
Teresa Palmer	actress	56	6.9	4743554
Judy Greer	actress	109	6.8	4735715
Judy Greer	director	109	6.8	4735715
Franka Potente	actress	66	7.6	4727170
Franka Potente	director	66	7.6	4727170
Radha Mitchell	actress	94	7.0	4725147
Ray Romano	actor	55	7.0	4719337
Carey Mulligan	actress	36	7.4	4718394
Paul Newman	actor	138	7.5	4717542
Paul Newman	director	138	7.5	4717542
Ben Mendelsohn	actor	73	7.0	4711313
Steve Zahn	actor	97	6.9	4672977
Denis Leary	actor	84	6.9	4659771
Shah Rukh Khan	actor	187	7.0	4659600
Chazz Palminteri	actor	78	8.0	4658731
Chazz Palminteri	director	78	8.0	4658731
Maria Bello	actress	96	6.5	4651962
Mathieu Amalric	actor	163	7.4	4635750
Mathieu Amalric	director	163	7.4	4635750
Maggie Smith	actress	94	7.2	4625127
Taylor Kitsch	actor	32	7.7	4614249
James Woods	actor	149	7.3	4606350
Dennis Hopper	actor	234	6.9	4604588
Dennis Hopper	director	234	6.9	4604588
Jessica Biel	actress	70	6.6	4601073
Gael García Bernal	actor	102	7.5	4593358
Gael García Bernal	director	102	7.5	4593358
Melissa Leo	actress	106	7.7	4592284
Topher Grace	actor	46	6.7	4587092
Justin Theroux	actor	50	7.3	4558178
Justin Theroux	director	50	7.3	4558178
Christopher Mintz-Plasse	actor	31	7.5	4521116
Meg Ryan	actress	82	6.8	4514696
Elle Fanning	actress	72	6.8	4505166
Stephen Rea	actor	122	7.7	4503402
Kasi Lemmons	actress	27	8.5	4500370
Kasi Lemmons	director	27	8.5	4500370
Christopher Lee	actor	282	6.8	4483663
Will Poulter	actor	27	7.4	4480946
Pedro Pascal	actor	36	7.7	4475709
Jordana Brewster	actress	46	6.6	4469453
Josh Lucas	actor	97	6.7	4467599
Mary Steenburgen	actress	126	6.9	4462557
Saoirse Ronan	actress	50	7.0	4460100
Humphrey Bogart	actor	189	8.0	4440130
Chris Cooper	actor	74	7.4	4433929
Chris Cooper	actress	74	7.4	4433929
Chris Cooper	director	74	7.4	4433929
Donnie Yen	actor	141	7.2	4430051
Donnie Yen	director	141	7.2	4430051
Daniel Kaluuya	actor	24	8.0	4418290
Giovanni Ribisi	actor	80	6.7	4409162
Marcia Gay Harden	actress	105	7.3	4401212
Maggie Grace	actress	57	6.8	4400176
Eli Roth	actor	25	8.3	4395352
Eli Roth	director	25	8.3	4395352
Rami Malek	actor	20	7.8	4379868
Ed Helms	actor	56	6.6	4375458
Benjamin Bratt	actor	66	7.0	4372509
Jim Broadbent	actor	142	7.0	4364468
Lisa Kudrow	actress	57	7.6	4353741
Nick Nolte	actor	153	7.2	4351233
Paula Patton	actress	42	6.9	4330102
James Earl Jones	actor	144	8.1	4322050
Edgar Ramírez	actor	57	7.0	4303202
Freida Pinto	actress	31	7.8	4298440
Keith David	actor	199	7.5	4295824
Rufus Sewell	actor	82	6.9	4293496
Kenneth Branagh	actor	123	6.5	4286037
Kenneth Branagh	director	123	6.5	4286037
Michael Sheen	actor	86	7.0	4283553
Daniel Day-Lewis	actor	41	7.6	4270935
Emmy Rossum	actress	37	7.0	4269267
Giancarlo Esposito	actor	114	7.9	4262847
Giancarlo Esposito	director	114	7.9	4262847
Claire Danes	actress	57	7.2	4250561
Caroline Goodall	actress	43	8.9	4250209
Elizabeth Olsen	actress	39	6.7	4249056
Haley Joel Osment	actor	65	7.8	4237232
Annette Bening	actress	84	7.2	4216804
Abbie Cornish	actress	62	6.7	4207821
Kate Hudson	actress	66	6.6	4193966
Julia Stiles	actress	66	7.2	4191483
Tom Kenny	actor	305	8.1	4189019
Kyle Chandler	actor	56	7.0	4180766
Sienna Miller	actress	55	7.1	4172198
Patton Oswalt	actor	90	7.6	4169849
Sam Elliott	actor	100	6.6	4155572
Demi Moore	actress	100	6.6	4132804
Demi Moore	director	100	6.6	4132804
Anya Taylor-Joy	actress	41	6.9	4121102
Scott Glenn	actor	112	7.1	4117141
Richard Attenborough	actor	154	8.1	4109183
Richard Attenborough	director	154	8.1	4109183
Emily Watson	actress	89	7.2	4106569
Andrea Riseborough	actress	66	7.1	4087078
John Turturro	actor	106	7.1	4074479
John Turturro	director	106	7.1	4074479
Amy Smart	actress	88	6.8	4072624
Linda Cardellini	actress	66	7.4	4063735
Dylan O'Brien	actor	35	6.7	4054263
Octavia Spencer	actress	58	7.2	4048086
Paul Reiser	actor	38	8.4	4037134
Seth Gilliam	actor	24	8.4	4024017
Justin Bartha	actor	36	6.6	4020675
Sophie Marceau	actress	94	7.9	4020667
Sophie Marceau	director	94	7.9	4020667
Ellen DeGeneres	actress	21	8.0	4016349
Chadwick Boseman	actor	34	7.1	3992448
Charlie Heaton	actor	23	8.4	3988947
Jonathan Groff	actor	23	7.4	3985119
Steve Martin	actor	89	6.5	3979495
Brian Cox	actor	159	7.1	3978351
Brian Cox	director	159	7.1	3978351
Richard Jenkins	actor	77	6.6	3959487
Casey Affleck	actor	74	6.9	3952675
Casey Affleck	director	74	6.9	3952675
Dee Bradley Baker	actor	286	8.2	3945549
Fred Willard	actor	70	7.7	3941050
Charlie Sheen	actor	104	6.7	3934061
Daniel Brühl	actor	112	7.3	3916383
Patrick McGoohan	actor	76	8.2	3907651
Patrick McGoohan	director	76	8.2	3907651
Riz Ahmed	actor	37	7.2	3900826
Jena Malone	actress	66	7.3	3896969
Thomas Haden Church	actor	64	6.5	3889238
Thomas Haden Church	director	64	6.5	3889238
Glenn Close	actress	131	6.7	3873770
Sebastian Stan	actor	36	7.4	3858040
Norman Reedus	actor	62	7.8	3855848
Jeff Daniels	actor	128	6.8	3855327
Jeff Daniels	director	128	6.8	3855327
Leonard Nimoy	actor	85	7.5	3851915
Leonard Nimoy	director	85	7.5	3851915
Jim Caviezel	actor	75	7.3	3851302
Ned Beatty	actor	159	7.8	3847169
Choi Min-sik	actor	55	7.5	3845085
Juliette Lewis	actress	97	7.0	3839641
Angela Bassett	actress	94	7.0	3832145
Angela Bassett	director	94	7.0	3832145
Angus Macfadyen	actor	79	8.0	3820258
Madeleine Stowe	actress	69	7.5	3817758
Diego Luna	actor	77	7.5	3791449
Diego Luna	director	77	7.5	3791449
Gillian Anderson	actress	66	7.9	3787042
Doug Jones	actor	74	7.1	3783780
Ginnifer Goodwin	actress	37	7.6	3781003
Charlie Tahan	actor	27	7.5	3766889
Elisabeth Moss	actress	75	7.2	3756509
Julia Ormond	actress	79	7.3	3754390
Lupita Nyong'o	actress	21	7.2	3754113
Tyler Perry	actor	82	7.5	3751520
Tyler Perry	director	82	7.5	3751520
Jason Flemyng	actor	112	7.0	3748812
Jason Flemyng	director	112	7.0	3748812
Sarah Paulson	actress	57	7.3	3744164
Noah Schnapp	actor	14	8.6	3736242
Tony Chiu-Wai Leung	actor	188	7.6	3733902
Dianne Wiest	actress	55	7.3	3726215
Jessica Lange	actress	88	7.3	3725689
Katherine Waterston	actress	36	6.8	3721138
Natalia Dyer	actress	16	8.6	3717471
Juliette Binoche	actress	126	6.9	3708540
Michael Nyqvist	actor	68	7.3	3703211
Olivia Colman	actress	79	7.9	3702195
Asa Butterfield	actor	40	7.2	3683418
Jeff Garlin	actor	29	8.3	3682614
Jeff Garlin	director	29	8.3	3682614
Jason Lee	actor	69	7.1	3680288
Jason Lee	director	69	7.1	3680288
Amy Poehler	actress	56	7.6	3676799
Amy Poehler	director	56	7.6	3676799
Jim Sturgess	actor	61	6.8	3672952
Alessandro Nivola	actor	72	6.6	3672055
Ed Skrein	actor	35	7.7	3666872
Bruce Greenwood	actor	145	6.7	3666054
Paul Dano	actor	42	7.4	3662302
Paul Dano	director	42	7.4	3662302
Edward Asner	actor	239	8.1	3660795
Dermot Mulroney	actor	156	6.5	3657283
Dermot Mulroney	director	156	6.5	3657283
Bridget Moynahan	actress	34	6.9	3656929
Dan Fogler	actor	52	6.6	3652634
Dan Fogler	director	52	6.6	3652634
Danny McBride	actor	39	6.6	3651001
Neve Campbell	actress	86	6.5	3647968
Mia Wasikowska	actress	47	6.6	3645951
Mia Wasikowska	director	47	6.6	3645951
William Fichtner	actor	59	7.1	3645002
Malin Akerman	actress	68	6.7	3642701
Burt Young	actor	98	7.1	3640596
Lucy Davis	actress	24	7.6	3636963
Andrew Scott	actor	52	8.7	3636612
Joe Keery	actor	7	8.7	3627645
Michael C. Hall	actor	40	7.9	3627091
Armie Hammer	actor	44	6.8	3625434
Joseph Fiennes	actor	73	7.2	3624619
Ansel Elgort	actor	25	7.3	3623821
Tabu	actress	186	7.6	3609933
Andy Samberg	actor	51	7.1	3600964
Stephen Baldwin	actor	145	8.2	3600492
Joel Kinnaman	actor	51	7.1	3600398
Anil Kapoor	actor	256	7.3	3592098
Léa Seydoux	actress	56	7.0	3589628
Jim Varney	actor	50	7.9	3582546
Christina Ricci	actress	104	6.7	3575590
Joe Pantoliano	actor	123	7.8	3573637
Joe Pantoliano	director	123	7.8	3573637
Tina Fey	actress	28	7.2	3568135
