nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Roger Allers	director	8	8.3	3485733
Gareth Edwards	director	12	7.2	3459523
Rob Marshall	director	20	6.7	3424911
Peter Segal	director	30	6.5	3409129
Barry Levinson	director	71	7.0	3381703
Baz Luhrmann	director	19	7.2	3361932
Harold Ramis	director	36	7.4	3352400
Kenneth Branagh	director	123	6.9	3352329
Chris Buck	director	12	7.2	3345084
Jordan Peele	director	36	7.3	3312228
Wilfred Jackson	director	29	7.4	3278851
Rich Moore	director	9	7.7	3277806
Pierre Coffin	director	27	7.3	3277077
Park Chan-wook	director	36	8.0	3276680
Christopher McQuarrie	director	12	7.3	3271815
Patty Jenkins	director	12	6.9	3258197
Richard Marquand	director	20	8.3	3257749
Spike Lee	director	90	7.3	3257269
Hamilton Luske	director	37	7.3	3247786
Eric Darnell	director	15	6.7	3218514
Rawson Marshall Thurber	director	16	6.5	3213480
Conrad Vernon	director	23	6.8	3203862
Wolfgang Reitherman	director	32	7.3	3184307
Curtis Hanson	director	43	7.6	3182236
Chris Williams	director	32	7.5	3181239
George Cukor	director	152	7.9	3173120
Clyde Geronimi	director	43	7.2	3153661
Paul Feig	director	39	6.7	3140442
Bob Peterson	director	9	8.3	3139860
Milos Forman	director	39	8.2	3125841
Akira Kurosawa	director	68	8.2	3120178
Wes Craven	director	61	6.4	3084273
Jean-Pierre Jeunet	director	23	7.6	3038244
Tom Shadyac	director	24	6.5	3036091
Tom Tykwer	director	32	7.3	3034537
Chris Sanders	director	28	7.8	3034204
Don Hall	director	15	7.6	3033243
Alan Taylor	director	17	6.6	3024975
Len Wiseman	director	11	6.8	3011219
Kevin Smith	director	106	6.7	2999957
Paul Thomas Anderson	director	20	7.5	2899240
Richard Curtis	director	10	7.6	2894019
Colin Trevorrow	director	14	6.7	2879898
Judd Apatow	director	18	6.7	2876788
Jake Kasdan	director	23	6.5	2859969
Steve McQueen	director	76	7.9	2819224
Richard Kelly	director	10	7.6	2811794
Nancy Meyers	director	16	6.7	2808594
Bobby Farrelly	director	24	6.5	2781769
Glenn Ficarra	director	12	7.1	2779674
John Requa	director	12	7.1	2779674
Mel Gibson	director	143	7.9	2767543
Alex Garland	director	9	7.3	2761293
John G. Avildsen	director	51	7.1	2731213
Michael Curtiz	director	307	8.1	2713796
Éric Toledano	director	17	8.4	2696512
Olivier Nakache	director	17	8.4	2696512
Phillip Noyce	director	50	6.5	2662522
John Lee Hancock	director	25	7.2	2661163
Pierre Morel	director	20	7.4	2649233
Nicolas Winding Refn	director	24	7.1	2633203
Vicky Jenson	director	8	7.5	2629995
Wes Ball	director	9	6.6	2606268
Fernando Meirelles	director	24	8.0	2603457
Roger Donaldson	director	53	6.6	2565709
Mike Nichols	director	47	7.3	2564377
Taylor Hackford	director	42	7.2	2538751
Gavin O'Connor	director	36	7.7	2538306
David Gordon Green	director	33	6.4	2529554
Craig Gillespie	director	21	7.1	2476271
John Landis	director	48	6.9	2467542
Joe Carnahan	director	24	6.7	2447584
Andrew Davis	director	33	6.9	2435104
Jennifer Lee	director	15	7.3	2411658
Frank Capra	director	111	8.3	2388147
Jonathan Levine	director	20	7.0	2381070
J.A. Bayona	director	12	6.9	2377659
Nick Cassavetes	director	57	7.3	2371037
Tony Kaye	director	7	8.5	2340551
Victor Fleming	director	106	8.1	2329566
David Twohy	director	20	6.7	2328776
Gavin Hood	director	22	6.7	2326174
Jim Jarmusch	director	40	7.1	2308345
David Hand	director	24	7.4	2307365
Will Gluck	director	18	6.7	2301544
Chuck Russell	director	25	6.4	2299308
Chris Wedge	director	15	7.1	2281773
Ryan Fleck	director	12	6.9	2270390
Joe Dante	director	54	6.6	2260079
Sofia Coppola	director	20	6.9	2247238
Gary Trousdale	director	12	7.6	2235939
Kirk Wise	director	11	7.6	2220435
Frank Miller	director	21	7.4	2219997
Stephen Frears	director	93	7.1	2213898
Nicholas Stoller	director	16	6.6	2199781
Paul Haggis	director	14	7.6	2189194
Anna Boden	director	11	6.9	2182090
John Hughes	director	24	7.4	2177675
David Lean	director	44	8.1	2171563
Terry Jones	director	37	8.0	2168023
David Dobkin	director	16	6.7	2147930
John Huston	director	159	7.5	2145480
Peter Ramsey	director	9	8.1	2142771
Gregory Hoblit	director	27	7.2	2139069
Anne Fletcher	director	18	6.4	2127342
Bennett Miller	director	10	7.4	2121190
Sean Penn	director	121	7.9	2116900
Lars von Trier	director	37	7.2	2112678
Alexander Payne	director	17	7.2	2105956
Neil Jordan	director	52	7.1	2092694
Timur Bekmambetov	director	39	6.4	2089240
Tom McCarthy	director	26	7.7	2080159
Robert Eggers	director	9	7.1	2078091
Allen Hughes	director	20	6.7	2071722
Yorgos Lanthimos	director	17	7.2	2070508
Mikael Håfström	director	32	6.6	2061146
Robert Wise	director	105	7.5	2054564
Henry Selick	director	15	7.6	2028987
Rupert Wyatt	director	14	7.3	2025180
Sydney Pollack	director	71	6.9	2022251
Martin Brest	director	17	7.0	2019397
